clip_id,type,objective_number,title,transcript,source_reference,voice_reference,generated_status,approval_status,final_path,review_note
M10-O01-INTRO,objective_intro,1,Objective 1 intro,Objective 1: Define key terminology. This is source-traced theory instruction only.,CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-4,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O01-Vital_Signs_Flashcard_De,activity_instruction,1,Vital Signs Flashcard Deck,"Activity: Vital Signs Flashcard Deck. Use the source guidance for Objective 1 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-4,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O01-Crossword_Quest,activity_instruction,1,Crossword Quest,"Activity: Crossword Quest. Use the source guidance for Objective 1 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-4,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O01-Five-Term_Report_Sentenc,activity_instruction,1,Five-Term Report Sentence,"Activity: Five-Term Report Sentence. Use the source guidance for Objective 1 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-4,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O02-INTRO,objective_intro,2,Objective 2 intro,"Objective 2: Describe what is meant by vital signs, their purpose, and observations made while performing the procedures. This is source-traced theory instruction only.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-4,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O02-Vital_Signs_Dashboard,activity_instruction,2,Vital Signs Dashboard,"Activity: Vital Signs Dashboard. Use the source guidance for Objective 2 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-4,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O02-Resident_Room_Spot-Check,activity_instruction,2,Resident Room Spot-Check,"Activity: Resident Room Spot-Check. Use the source guidance for Objective 2 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-4,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O02-Vital_Signs_Chart_Builde,activity_instruction,2,Vital Signs Chart Builder,"Activity: Vital Signs Chart Builder. Use the source guidance for Objective 2 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-4,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O03-INTRO,objective_intro,3,Objective 3 intro,Objective 3: Discuss the use of temperature as an indicator of body function. This is source-traced theory instruction only.,CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-5-6-7,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O03-Heat_Balance_Simulator,activity_instruction,3,Heat Balance Simulator,"Activity: Heat Balance Simulator. Use the source guidance for Objective 3 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-5-6-7,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O03-Thermometer_Museum,activity_instruction,3,Thermometer Museum,"Activity: Thermometer Museum. Use the source guidance for Objective 3 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-5-6-7,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O03-Temperature_Route_Choice,activity_instruction,3,Temperature Route Choice,"Activity: Temperature Route Choice. Use the source guidance for Objective 3 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-5-6-7,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O04-INTRO,objective_intro,4,Objective 4 intro,Objective 4: Describe nursing measures to raise and lower the temperature of the body. This is source-traced theory instruction only.,CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-7,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O04-Raise_or_Lower_Sort,activity_instruction,4,Raise or Lower Sort,"Activity: Raise or Lower Sort. Use the source guidance for Objective 4 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-7,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O04-Comfort_Switchboard,activity_instruction,4,Comfort Switchboard,"Activity: Comfort Switchboard. Use the source guidance for Objective 4 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-7,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O04-FeverChill_Micro-Scenari,activity_instruction,4,Fever/Chill Micro-Scenario,"Activity: Fever/Chill Micro-Scenario. Use the source guidance for Objective 4 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-7,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O05-INTRO,objective_intro,5,Objective 5 intro,"Objective 5: Describe the circulatory system as it relates to pulse, and identify the pulse sites. This is source-traced theory instruction only.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-8,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O05-Pulse_Site_Body_Map,activity_instruction,5,Pulse Site Body Map,"Activity: Pulse Site Body Map. Use the source guidance for Objective 5 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-8,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O05-Heart-to-Artery_Animatio,activity_instruction,5,Heart-to-Artery Animation,"Activity: Heart-to-Artery Animation. Use the source guidance for Objective 5 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-8,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O05-Site_Match_Speed_Round,activity_instruction,5,Site Match Speed Round,"Activity: Site Match Speed Round. Use the source guidance for Objective 5 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-8,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O06-INTRO,objective_intro,6,Objective 6 intro,"Objective 6: Describe factors that increase and decrease pulse, and the qualities to observe in taking a pulse. This is source-traced theory instruction only.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-8-9,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O06-Pulse_Detective,activity_instruction,6,Pulse Detective,"Activity: Pulse Detective. Use the source guidance for Objective 6 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-8-9,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O06-Beat_Trainer,activity_instruction,6,Beat Trainer,"Activity: Beat Trainer. Use the source guidance for Objective 6 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-8-9,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O06-One-Full-Minute_Practice,activity_instruction,6,One-Full-Minute Practice,"Activity: One-Full-Minute Practice. Use the source guidance for Objective 6 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-8-9,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O07-INTRO,objective_intro,7,Objective 7 intro,Objective 7: Define and describe respiration and factors that affect respiratory rate. This is source-traced theory instruction only.,CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-9,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O07-Breath_Cycle_Loop,activity_instruction,7,Breath Cycle Loop,"Activity: Breath Cycle Loop. Use the source guidance for Objective 7 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-9,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O07-Respiration_Factor_Race,activity_instruction,7,Respiration Factor Race,"Activity: Respiration Factor Race. Use the source guidance for Objective 7 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-9,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O07-Normal_Breathing_Pick,activity_instruction,7,Normal Breathing Pick,"Activity: Normal Breathing Pick. Use the source guidance for Objective 7 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-9,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O08-INTRO,objective_intro,8,Objective 8 intro,Objective 8: Describe observations to be made when measuring respirations. This is source-traced theory instruction only.,CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-10,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O08-Respiration_Observation_,activity_instruction,8,Respiration Observation Lens,"Activity: Respiration Observation Lens. Use the source guidance for Objective 8 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-10,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O08-Cyanosis_Alert,activity_instruction,8,Cyanosis Alert,"Activity: Cyanosis Alert. Use the source guidance for Objective 8 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-10,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
