clip_id,type,objective_number,title,transcript,source_reference,voice_reference,generated_status,approval_status,final_path,review_note
M10-O08-Report_Now_or_Routine?,activity_instruction,8,Report Now or Routine?,"Activity: Report Now or Routine?. Use the source guidance for Objective 8 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-10,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O09-INTRO,objective_intro,9,Objective 9 intro,Objective 9: Describe abnormal breathing patterns. This is source-traced theory instruction only.,CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-10,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O09-Breathing_Pattern_Theate,activity_instruction,9,Breathing Pattern Theater,"Activity: Breathing Pattern Theater. Use the source guidance for Objective 9 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-10,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O09-Pattern_Match,activity_instruction,9,Pattern Match,"Activity: Pattern Match. Use the source guidance for Objective 9 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-10,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O09-Urgency_Ladder,activity_instruction,9,Urgency Ladder,"Activity: Urgency Ladder. Use the source guidance for Objective 9 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-10,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O10-INTRO,objective_intro,10,Objective 10 intro,Objective 10: Describe the process for taking TPR as a combined procedure. This is source-traced theory instruction only.,CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-11,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O10-TPR_Flow_Timeline,activity_instruction,10,TPR Flow Timeline,"Activity: TPR Flow Timeline. Use the source guidance for Objective 10 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-11,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O10-Do_Not_Break_the_Flow,activity_instruction,10,Do Not Break the Flow,"Activity: Do Not Break the Flow. Use the source guidance for Objective 10 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-11,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O10-Memory_Sticky_Note,activity_instruction,10,Memory Sticky Note,"Activity: Memory Sticky Note. Use the source guidance for Objective 10 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-11,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O11-INTRO,objective_intro,11,Objective 11 intro,Objective 11: Describe what happens in the circulatory system to produce blood pressure. This is source-traced theory instruction only.,CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-11-12,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O11-Artery_Pressure_Pump,activity_instruction,11,Artery Pressure Pump,"Activity: Artery Pressure Pump. Use the source guidance for Objective 11 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-11-12,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O11-First_Sound__Last_Sound_,activity_instruction,11,First Sound / Last Sound Demo,"Activity: First Sound / Last Sound Demo. Use the source guidance for Objective 11 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-11-12,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O11-BP_Fraction_Builder,activity_instruction,11,BP Fraction Builder,"Activity: BP Fraction Builder. Use the source guidance for Objective 11 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-11-12,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O12-INTRO,objective_intro,12,Objective 12 intro,Objective 12: Identify factors that increase or decrease blood pressure. This is source-traced theory instruction only.,CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-12-13,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O12-BP_Elevator_Game,activity_instruction,12,BP Elevator Game,"Activity: BP Elevator Game. Use the source guidance for Objective 12 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-12-13,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O12-Before_You_Take_BP_Check,activity_instruction,12,Before You Take BP Checklist,"Activity: Before You Take BP Checklist. Use the source guidance for Objective 12 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-12-13,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O12-False_Reading_Mini-Lab,activity_instruction,12,False Reading Mini-Lab,"Activity: False Reading Mini-Lab. Use the source guidance for Objective 12 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-12-13,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O13-INTRO,objective_intro,13,Objective 13 intro,Objective 13: Identify parts of the blood pressure equipment. This is source-traced theory instruction only.,CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-13,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O13-Equipment_Labeling_Lab,activity_instruction,13,Equipment Labeling Lab,"Activity: Equipment Labeling Lab. Use the source guidance for Objective 13 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-13,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O13-Manual_vs_Automated_Sort,activity_instruction,13,Manual vs Automated Sort,"Activity: Manual vs Automated Sort. Use the source guidance for Objective 13 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-13,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O13-Clean_Setup_Challenge,activity_instruction,13,Clean Setup Challenge,"Activity: Clean Setup Challenge. Use the source guidance for Objective 13 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-13,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O14-INTRO,objective_intro,14,Objective 14 intro,Objective 14: Discuss the procedure for taking a blood pressure reading. This is source-traced theory instruction only.,CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-13-14,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O14-One-Step__Two-Step_BP_Pr,activity_instruction,14,One-Step / Two-Step BP Procedure Player,"Activity: One-Step / Two-Step BP Procedure Player. Use the source guidance for Objective 14 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-13-14,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O14-Cuff_Placement_Coach,activity_instruction,14,Cuff Placement Coach,"Activity: Cuff Placement Coach. Use the source guidance for Objective 14 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-13-14,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O14-Do_Not_Use_This_Arm,activity_instruction,14,Do Not Use This Arm,"Activity: Do Not Use This Arm. Use the source guidance for Objective 14 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-13-14,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O15-INTRO,objective_intro,15,Objective 15 intro,Objective 15: Discuss observation and reporting of patient’s/resident’s pain. This is source-traced theory instruction only.,CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-14-15-16,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O15-Pain_Scale_Role_Play,activity_instruction,15,Pain Scale Role Play,"Activity: Pain Scale Role Play. Use the source guidance for Objective 15 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-14-15-16,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O15-Nonverbal_Pain_Clue_Hunt,activity_instruction,15,Nonverbal Pain Clue Hunt,"Activity: Nonverbal Pain Clue Hunt. Use the source guidance for Objective 15 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-14-15-16,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O15-Bias_Check_Scenario,activity_instruction,15,Bias Check Scenario,"Activity: Bias Check Scenario. Use the source guidance for Objective 15 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-14-15-16,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O16-INTRO,objective_intro,16,Objective 16 intro,"Objective 16: Record vital signs on chart, graph, and Nursing Assistant notes. This is source-traced theory instruction only.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-16,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O16-TPRBP_Charting_Sandbox,activity_instruction,16,TPR/BP Charting Sandbox,"Activity: TPR/BP Charting Sandbox. Use the source guidance for Objective 16 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-16,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O16-Find_the_Charting_Error,activity_instruction,16,Find the Charting Error,"Activity: Find the Charting Error. Use the source guidance for Objective 16 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-16,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
M10-O16-Report_+_Record_Simulati,activity_instruction,16,Report + Record Simulation,"Activity: Report + Record Simulation. Use the source guidance for Objective 16 and stay within CNA observe, report, and record boundaries.",CNA-Recert-Course/CNA_Modules/cccco-na-model-curriculum-module-10.pdf#pages-16,C:/AI/Git/training/CI-ION/CI-ION_OASIS-E2_SOC/src/content/narration/Additional Narrations OASIS-E2/FINAL_REVIEW_EXPORT_GUIDANCE_001.wav,queued_not_generated,scripts_source_validated_generation_gated,,Generate only after explicit audio approval.
