question_id,lane,category,course_unit_module,objective,question_type,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer,rationale,difficulty,source_reference,sme_review_status,moodle_import_category
BRN-M01-Q01,BRN,M01,M01 - Foundations of RN Case Management and Nursing Scope (3 contact hours),Define the purpose of RN case management.,mcq,The core purpose of RN case management is to:,Replace the primary physician,"Coordinate and advocate for safe, effective, patient-centered care across settings",Reduce all costs regardless of quality,Eliminate documentation,,B,"RN case management coordinates and advocates for patient-centered care, balancing quality, safety, and resource use.",easy,BRN CM Module M01 - Foundations,SME review recommended,BRN/M01
BRN-M01-Q02,BRN,M01,M01 - Foundations of RN Case Management and Nursing Scope (3 contact hours),Apply RN scope-of-practice boundaries.,mcq,Operating within one's RN scope of practice means the nurse:,Performs any task requested regardless of licensure,Acts within the legal/professional boundaries defined for registered nurses,Ignores standards of practice,Practices medicine independently,,B,Scope of practice defines the legal and professional boundaries for RN actions. Confirm jurisdiction specifics with SME/legal.,medium,BRN CM Module M01 - Foundations,SME/legal review required before submission,BRN/M01
BRN-M01-Q03,BRN,M01,M01 - Foundations of RN Case Management and Nursing Scope (3 contact hours),Apply patient-centered principles.,mcq,A patient-centered approach in case management means decisions are guided primarily by:,The case manager's convenience,"The patient's needs, goals, values, and informed preferences",Payer preferences only,Facility throughput only,,B,"Patient-centered care centers the patient's needs, goals, and informed preferences.",easy,BRN CM Module M01 - Foundations,SME review recommended,BRN/M01
BRN-M01-Q04,BRN,M01,M01 - Foundations of RN Case Management and Nursing Scope (3 contact hours),Describe the advocacy/stewardship balance.,tf,Case managers balance advocacy for the patient with responsible use of resources.,TRUE,FALSE,,,,TRUE,Case management balances patient advocacy with appropriate stewardship of resources.,easy,BRN CM Module M01 - Foundations,SME review recommended,BRN/M01
BRN-M01-Q05,BRN,M01,M01 - Foundations of RN Case Management and Nursing Scope (3 contact hours),Explain interdisciplinary collaboration.,mcq,Which best describes the RN case manager's relationship with the interdisciplinary team?,Works in isolation,Collaborates and communicates across disciplines to coordinate care,Directs physicians' medical orders,Avoids other team members,,B,Case managers collaborate across disciplines to coordinate care.,easy,BRN CM Module M01 - Foundations,SME review recommended,BRN/M01
BRN-M01-Q06,BRN,M01,M01 - Foundations of RN Case Management and Nursing Scope (3 contact hours),Apply professional standards and ethics.,mcq,Standards of professional practice and a code of ethics guide the case manager by:,Being optional suggestions,"Providing a framework for accountable, ethical, competent practice",Replacing clinical judgment entirely,Limiting patient advocacy,,B,"Professional standards and ethics frame accountable, competent practice.",medium,BRN CM Module M01 - Foundations,SME review recommended,BRN/M01
BRN-M01-Q07,BRN,M01,M01 - Foundations of RN Case Management and Nursing Scope (3 contact hours),Apply scope-of-practice judgment.,scenario,Scenario: A case manager is asked by a supervisor to perform a task that appears outside the RN scope of practice. The most appropriate response is to:,Perform it to avoid conflict,"Decline tasks outside the RN scope, clarify the concern, and seek appropriate qualified involvement",Delegate it to an aide,Ignore the request entirely without explanation,,B,Nurses should not perform tasks outside scope; they clarify and route to the appropriate qualified professional. Confirm scope with SME/legal.,hard,BRN CM Module M01 - Foundations,SME/legal review required before submission,BRN/M01
BRN-M01-Q08,BRN,M01,M01 - Foundations of RN Case Management and Nursing Scope (3 contact hours),Identify core case-management functions.,ms,Which are core functions of RN case management? (Select all that apply.),Assessment and care coordination,Advocacy for the patient,Practicing outside one's license,Monitoring and evaluating outcomes,,A; B; D,"Assessment, coordination, advocacy, and outcome evaluation are core; practicing outside license is not.",medium,BRN CM Module M01 - Foundations,SME review recommended,BRN/M01
BRN-M01-Q09,BRN,M01,M01 - Foundations of RN Case Management and Nursing Scope (3 contact hours),Describe the case manager's coordinating role in home health.,mcq,"In the home health context, the RN case manager often serves as a:",Barrier between patient and team,"Central coordinator linking the patient, providers, and resources",Replacement for the physician,Billing-only function,,B,"In home health, the case manager coordinates among patient, providers, and resources.",easy,BRN CM Module M01 - Foundations,SME review recommended,BRN/M01
BRN-M01-Q10,BRN,M01,M01 - Foundations of RN Case Management and Nursing Scope (3 contact hours),Use correct BRN contact-hour terminology.,mcq,This program is structured as continuing education measured in:,CEUs,Contact hours,Clinical rotations,Academic credits,,B,"BRN continuing education is expressed in contact hours, not CEUs.",easy,BRN CM Module M01 - Foundations,SME review recommended,BRN/M01
BRN-M01-Q11,BRN,M01,M01 - Foundations of RN Case Management and Nursing Scope (3 contact hours),Explain the value of continuing education.,tf,"Maintaining competency through continuing education supports safe, current case-management practice.",TRUE,FALSE,,,,TRUE,Ongoing education maintains competency for safe practice.,easy,BRN CM Module M01 - Foundations,SME review recommended,BRN/M01
BRN-M01-Q12,BRN,M01,M01 - Foundations of RN Case Management and Nursing Scope (3 contact hours),State the module's foundational focus.,mcq,The overall foundation this module establishes is:,Medication prescribing authority,"The role, scope, ethics, and coordinating function of RN case management",Facility marketing,Billing codes only,,B,"The module establishes role, scope, ethics, and coordination foundations.",easy,BRN CM Module M01 - Foundations,SME review recommended,BRN/M01
BRN-M02-Q01,BRN,M02,"M02 - Assessment, Intake, and Patient-Centered Care Planning (3 contact hours)",Describe comprehensive assessment domains.,mcq,A comprehensive case-management assessment should include:,Only the primary diagnosis,"Physical, functional, psychosocial, environmental, and support-system factors",Only insurance information,Only the patient's age,,B,"Holistic assessment spans physical, functional, psychosocial, environmental, and support factors.",medium,BRN CM Module M02 - Assessment and Care Planning,SME review recommended,BRN/M02
BRN-M02-Q02,BRN,M02,"M02 - Assessment, Intake, and Patient-Centered Care Planning (3 contact hours)",Explain the purpose of intake reconciliation.,mcq,"During intake, verifying and reconciling key information helps to:",Delay care,Establish an accurate baseline and reduce errors,Avoid documentation,Replace assessment,,B,Accurate intake reconciliation establishes a reliable baseline and reduces errors.,easy,BRN CM Module M02 - Assessment and Care Planning,SME review recommended,BRN/M02
BRN-M02-Q03,BRN,M02,"M02 - Assessment, Intake, and Patient-Centered Care Planning (3 contact hours)",Write effective care-plan goals.,mcq,A patient-centered care plan goal is best written as:,Vague and open-ended,"Specific, measurable, achievable, relevant, and time-bound, reflecting the patient's priorities",Decided without the patient,Focused only on facility metrics,,B,"SMART, patient-aligned goals support measurable, individualized care planning.",medium,BRN CM Module M02 - Assessment and Care Planning,SME review recommended,BRN/M02
BRN-M02-Q04,BRN,M02,"M02 - Assessment, Intake, and Patient-Centered Care Planning (3 contact hours)",Apply patient involvement in planning.,tf,The patient (and family/caregiver as appropriate) should be involved in developing the care plan.,TRUE,FALSE,,,,TRUE,Patient/caregiver involvement is central to patient-centered planning.,easy,BRN CM Module M02 - Assessment and Care Planning,SME review recommended,BRN/M02
BRN-M02-Q05,BRN,M02,"M02 - Assessment, Intake, and Patient-Centered Care Planning (3 contact hours)",Apply prioritization in care planning.,mcq,Prioritizing problems in a care plan should be guided primarily by:,Alphabetical order,"Acuity, safety, and the patient's goals",The case manager's preference,Billing potential,,B,"Prioritization reflects acuity, safety, and patient goals.",medium,BRN CM Module M02 - Assessment and Care Planning,SME review recommended,BRN/M02
BRN-M02-Q06,BRN,M02,"M02 - Assessment, Intake, and Patient-Centered Care Planning (3 contact hours)",Incorporate social determinants of health.,mcq,Identifying social determinants of health during assessment helps the case manager to:,Ignore barriers,"Recognize barriers (e.g., transportation, housing, food) that affect outcomes and plan accordingly",Increase costs only,Avoid referrals,,B,Social determinants influence outcomes and should inform planning and referrals.,medium,BRN CM Module M02 - Assessment and Care Planning,SME review recommended,BRN/M02
BRN-M02-Q07,BRN,M02,"M02 - Assessment, Intake, and Patient-Centered Care Planning (3 contact hours)",Tailor planning to individual circumstances.,scenario,"Scenario: A newly admitted home-health patient lives alone, has limited mobility, and no nearby support. The case manager should:",Proceed with a standard plan ignoring the situation,"Assess safety and support needs, incorporate resources/referrals (e.g., home support, equipment), and tailor the care plan",Discharge from services,Tell the patient to manage alone,,B,"Assessment of safety/support and resource integration produces an individualized, safe plan.",hard,BRN CM Module M02 - Assessment and Care Planning,SME review recommended,BRN/M02
BRN-M02-Q08,BRN,M02,"M02 - Assessment, Intake, and Patient-Centered Care Planning (3 contact hours)",Identify care-plan components.,ms,Which belong in a patient-centered care plan? (Select all that apply.),Measurable goals,Interventions matched to needs,Goals decided without the patient,A plan for evaluation/reassessment,,A; B; D,"Measurable goals, matched interventions, and evaluation belong; excluding the patient does not.",medium,BRN CM Module M02 - Assessment and Care Planning,SME review recommended,BRN/M02
BRN-M02-Q09,BRN,M02,"M02 - Assessment, Intake, and Patient-Centered Care Planning (3 contact hours)",Apply reassessment timing.,mcq,Reassessment of the care plan should occur:,Never,Regularly and when the patient's condition or circumstances change,Only at discharge,Only if the payer asks,,B,Care plans are living documents reassessed regularly and on change.,easy,BRN CM Module M02 - Assessment and Care Planning,SME review recommended,BRN/M02
BRN-M02-Q10,BRN,M02,"M02 - Assessment, Intake, and Patient-Centered Care Planning (3 contact hours)",Apply assessment tools appropriately.,mcq,Using validated assessment tools when appropriate helps to:,Introduce bias,"Support consistent, evidence-informed assessment",Replace clinical judgment entirely,Avoid documentation,,B,Validated tools support consistency and complement clinical judgment.,easy,BRN CM Module M02 - Assessment and Care Planning,SME review recommended,BRN/M02
BRN-M02-Q11,BRN,M02,"M02 - Assessment, Intake, and Patient-Centered Care Planning (3 contact hours)",Maintain an accurate problem list.,tf,"An accurate, current problem list helps the team deliver coordinated, individualized care.",TRUE,FALSE,,,,TRUE,"A current problem list supports coordinated, individualized care.",easy,BRN CM Module M02 - Assessment and Care Planning,SME review recommended,BRN/M02
BRN-M02-Q12,BRN,M02,"M02 - Assessment, Intake, and Patient-Centered Care Planning (3 contact hours)",State the module aim.,mcq,The overall aim of this module is to:,Teach prescribing,"Strengthen comprehensive assessment, intake, and patient-centered care planning",Replace the physician,Focus only on billing,,B,"The aim is sound assessment, intake, and patient-centered planning.",easy,BRN CM Module M02 - Assessment and Care Planning,SME review recommended,BRN/M02
BRN-M03-Q01,BRN,M03,M03 - Care Coordination Across Disciplines and Settings (3 contact hours),Define the purpose of care coordination.,mcq,Care coordination across disciplines primarily aims to:,Create silos,"Align team members and services so care is safe, continuous, and non-duplicative",Increase fragmentation,Reduce communication,,B,"Coordination aligns the team to deliver safe, continuous, non-duplicative care.",easy,BRN CM Module M03 - Care Coordination,SME review recommended,BRN/M03
BRN-M03-Q02,BRN,M03,M03 - Care Coordination Across Disciplines and Settings (3 contact hours),Apply structured communication.,mcq,Effective interdisciplinary communication is supported by:,Ambiguous handoffs,"Structured, clear, and timely information sharing (e.g., standardized handoff)",Withholding information,Relying on memory only,,B,"Structured, timely communication (e.g., standardized handoffs) reduces errors.",medium,BRN CM Module M03 - Care Coordination,SME review recommended,BRN/M03
BRN-M03-Q03,BRN,M03,M03 - Care Coordination Across Disciplines and Settings (3 contact hours),Ensure cross-setting continuity.,mcq,"When coordinating across settings (hospital, home, community), the case manager should ensure:",Information is lost between settings,Continuity of the care plan and accurate information transfer,Each setting starts from scratch,No follow-up,,B,Continuity and accurate transfer prevent gaps across settings.,medium,BRN CM Module M03 - Care Coordination,SME review recommended,BRN/M03
BRN-M03-Q04,BRN,M03,M03 - Care Coordination Across Disciplines and Settings (3 contact hours),Apply role clarity in teams.,tf,Clear role definition among team members reduces gaps and duplication in care.,TRUE,FALSE,,,,TRUE,Defined roles reduce gaps and duplication.,easy,BRN CM Module M03 - Care Coordination,SME review recommended,BRN/M03
BRN-M03-Q05,BRN,M03,M03 - Care Coordination Across Disciplines and Settings (3 contact hours),Identify risks of poor coordination.,mcq,A primary risk when care is poorly coordinated is:,Improved outcomes,"Fragmented care, errors, duplicated services, and gaps",Lower costs always,Better communication,,B,"Poor coordination causes fragmentation, errors, duplication, and gaps.",easy,BRN CM Module M03 - Care Coordination,SME review recommended,BRN/M03
BRN-M03-Q06,BRN,M03,M03 - Care Coordination Across Disciplines and Settings (3 contact hours),Manage referrals effectively.,mcq,Coordinating referrals effectively includes:,Sending incomplete information,"Providing relevant information, confirming receipt, and following up on outcomes",Never following up,Avoiding documentation,,B,"Effective referrals include complete information, confirmation, and follow-up.",medium,BRN CM Module M03 - Care Coordination,SME review recommended,BRN/M03
BRN-M03-Q07,BRN,M03,M03 - Care Coordination Across Disciplines and Settings (3 contact hours),Reconcile conflicting provider instructions.,scenario,Scenario: A patient is receiving conflicting instructions from two providers. The case manager should:,Pick one at random,Facilitate communication among the providers to reconcile the plan and clarify instructions for the patient,Tell the patient to choose,Ignore the conflict,,B,"The case manager facilitates reconciliation and clear, consistent instructions.",hard,BRN CM Module M03 - Care Coordination,SME review recommended,BRN/M03
BRN-M03-Q08,BRN,M03,M03 - Care Coordination Across Disciplines and Settings (3 contact hours),Identify coordination enablers.,ms,Which support effective care coordination? (Select all that apply.),"Timely, structured communication","Shared, current care plan",Withholding information from the team,Clear roles and follow-up,,A; B; D,"Communication, shared plans, and clear roles/follow-up support coordination; withholding information does not.",medium,BRN CM Module M03 - Care Coordination,SME review recommended,BRN/M03
BRN-M03-Q09,BRN,M03,M03 - Care Coordination Across Disciplines and Settings (3 contact hours),Engage the patient in coordination.,mcq,The patient's role in care coordination is best described as:,Passive bystander,An active partner whose input and understanding are essential,Irrelevant,Decision-maker for the clinical team,,B,Patients are active partners in coordinated care.,easy,BRN CM Module M03 - Care Coordination,SME review recommended,BRN/M03
BRN-M03-Q10,BRN,M03,M03 - Care Coordination Across Disciplines and Settings (3 contact hours),Document coordination activities.,mcq,"Documenting coordination activities (calls, referrals, follow-ups) is important because it:",Wastes time,"Creates a record of actions, supports continuity, and demonstrates accountability",Replaces communication,Is optional,,B,"Documentation records coordination, supports continuity, and shows accountability.",easy,BRN CM Module M03 - Care Coordination,SME review recommended,BRN/M03
BRN-M03-Q11,BRN,M03,M03 - Care Coordination Across Disciplines and Settings (3 contact hours),Leverage community resources.,tf,Coordinating with community resources can help address needs that affect health outcomes.,TRUE,FALSE,,,,TRUE,Community resources help address determinants affecting outcomes.,easy,BRN CM Module M03 - Care Coordination,SME review recommended,BRN/M03
BRN-M03-Q12,BRN,M03,M03 - Care Coordination Across Disciplines and Settings (3 contact hours),State the module aim.,mcq,The overall aim of this module is to:,Teach prescribing,Strengthen interdisciplinary and cross-setting care coordination,Promote fragmented care,Replace the team,,B,"The aim is effective interdisciplinary, cross-setting coordination.",easy,BRN CM Module M03 - Care Coordination,SME review recommended,BRN/M03
BRN-M04-Q01,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Describe legally sound documentation.,mcq,Legally sound nursing documentation should be:,Vague and delayed,"Accurate, objective, timely, complete, and legible",Based on assumptions,Altered after the fact without notation,,B,"Sound documentation is accurate, objective, timely, complete, and legible.",easy,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q02,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Apply factual charting.,mcq,Charting should generally reflect:,What the nurse intended to do,"What was actually assessed, done, and observed, and the patient's response",Only favorable information,Opinions about the patient's character,,B,"Documentation reflects actual assessment, actions, observations, and responses.",easy,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q03,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Apply correct error-correction in records.,mcq,"If an error is made in an electronic record, the appropriate action is to:",Delete the entry so no one sees it,Correct it per policy using an addendum/correction that preserves the original entry and audit trail,Ask IT to erase the history,Leave the error and ignore it,,B,Corrections must preserve the original entry and audit trail per policy.,medium,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q04,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Recognize the legal status of the record.,tf,The medical record can serve as a legal document and may be used in audits or legal proceedings.,TRUE,FALSE,,,,TRUE,The record is a legal document used in audits and proceedings.,easy,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q05,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Define audit-ready documentation.,mcq,'Audit-ready' documentation means records are:,Incomplete and disorganized,"Complete, accurate, and organized so they can withstand review",Hidden from reviewers,Written in personal shorthand only,,B,"Audit-ready records are complete, accurate, and organized for review.",easy,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q06,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Document patient education.,mcq,Documenting patient education and the patient's response is important because it:,Is unnecessary,"Demonstrates the education occurred and supports safe, coordinated care",Replaces the care plan,Hides information,,B,Documenting education and response evidences teaching and supports care.,easy,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q07,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Apply correct late-entry documentation.,scenario,Scenario: A case manager realizes a prior entry omitted an important assessment finding from earlier that day. The best action is to:,Backdate a new entry to the earlier time,"Make a clearly labeled late entry/addendum per policy, with the current date/time and reference to when the event occurred",Ask a colleague to enter it,Leave it out to avoid scrutiny,,B,A properly labeled late entry maintains integrity; backdating or proxy entry is falsification.,hard,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q08,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Identify defensible-documentation traits.,ms,Which are characteristics of defensible documentation? (Select all that apply.),Objective and factual,Timely,Altered without notation,Complete and legible,,A; B; D,"Objective, timely, complete, and legible records are defensible; undocumented alteration is not.",medium,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q09,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Apply record confidentiality.,mcq,Confidentiality and privacy of records require that information is:,Shared with anyone,"Accessed and disclosed only as authorized and necessary, consistent with privacy law and policy",Posted publicly,Discussed openly,,B,"Access/disclosure is limited to authorized, necessary use under privacy law and policy. Confirm specific privacy requirements with SME/legal.",medium,BRN CM Module M04 - Documentation and Legal Charting,SME/legal review required before submission,BRN/M04
BRN-M04-Q10,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Apply standardized documentation language.,mcq,Using approved terminology and avoiding unapproved abbreviations helps to:,Confuse readers,Reduce misinterpretation and errors,Make charts longer,Hide information,,B,Standardized terminology reduces misinterpretation and error.,easy,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q11,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",Apply documentation integrity.,tf,"Documentation should never be falsified, and care that was not provided should not be charted as done.",TRUE,FALSE,,,,TRUE,Falsification is prohibited; only actual care is documented.,easy,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
BRN-M04-Q12,BRN,M04,"M04 - Documentation, Legal Charting, and Audit-Ready Records (3 contact hours)",State the module aim.,mcq,The overall aim of this module is to:,Teach prescribing,"Strengthen documentation, legal charting, and audit-ready recordkeeping",Encourage shortcuts,Replace the care plan,,B,"The aim is sound documentation, legal charting, and audit readiness.",easy,BRN CM Module M04 - Documentation and Legal Charting,SME review recommended,BRN/M04
