course_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,core_category
RCFE-CETP-007,RCFE-CETP-007_Q001,Which documentation detail best supports follow-through after a blocked alternate exit route is corrected?,multichoice,"Observed condition, immediate action, person assigned, follow-up date, and closure confirmation.",Only the name of the staff member who moved the items.,A general note that the hallway looked better later.,No entry if residents were able to walk around the items.,A,"A defensible environmental record connects the hazard, correction, assignment, and closure so the facility can show timely administrator oversight.",foundational,Managing the Physical Environment
RCFE-CETP-007,RCFE-CETP-007_Q002,"During a routine walkthrough, a fictional storage closet containing cleaning supplies is found unlocked. What response best fits administrator oversight?",multichoice,Wait for the next monthly safety meeting because the issue is behind a door.,"Secure the closet, verify the storage standard, document the finding, notify the responsible supervisor, and recheck.",Ask residents to avoid the area and continue the tour.,Remove the supplies from the record so the issue does not appear on an audit.,B,"Hazardous storage concerns require timely control, policy verification, objective documentation, and follow-up rather than delay or concealment.",scenario,Managing the Physical Environment
RCFE-CETP-007,RCFE-CETP-007_Q003,What administrator action is most appropriate when a floor mat in a common corridor repeatedly curls at one edge?,multichoice,Leave it in place if no fall has occurred.,Tell staff to watch residents more closely but make no environmental change.,"Remove or replace the mat, document the hazard and correction, and review why the issue recurred.",Ask learners to decide whether the mat meets facility standards by vote.,C,"A repeated trip concern should be corrected and reviewed for recurrence prevention because resident movement is affected before an injury occurs.",application,Managing the Physical Environment
RCFE-CETP-007,RCFE-CETP-007_Q004,Which set of elements belongs in a useful emergency drill record?,multichoice,Only the drill date and a statement that the drill occurred.,Only a list of staff who were present.,Only a note that no resident injury occurred.,"Date, time, scenario, roles tested, barriers found, corrections assigned, and follow-up verification.",D,"Drill evidence should show what was tested, what was learned, what was corrected, and how follow-up will be verified.",foundational,Managing the Physical Environment
RCFE-CETP-007,RCFE-CETP-007_Q005,Which condition calls for immediate environmental control before it is treated as routine maintenance?,multichoice,Supply boxes narrowing the route to an exit door.,A planned repainting request for an office wall.,A preference to rearrange lobby decorations next month.,A suggestion to rename the maintenance checklist.,A,"Access to exit routes affects resident and staff movement during ordinary use and emergencies, so obstruction requires prompt control and documentation.",foundational,Managing the Physical Environment
RCFE-CETP-007,RCFE-CETP-007_Q006,After a fictional power interruption drill staff cannot find charged flashlights. What is the best administrator follow-up?,multichoice,Mark the drill complete because the outage was only simulated.,"Replace or charge supplies, clarify storage location, communicate the change, and document a recheck.",Ask each staff member to bring personal supplies from home.,Skip supply checks in future drills to save time.,B,"Emergency supplies must be locatable and usable; the administrator should correct the gap and create evidence that the correction was verified.",application,Managing the Physical Environment
RCFE-CETP-007,RCFE-CETP-007_Q007,Which statement best describes resident-specific emergency readiness?,multichoice,The same evacuation instruction is sufficient for every resident.,Resident details should be ignored during drills to save time.,"Emergency planning should account for mobility, cueing, communication, equipment, and assistance needs according to policy.",Only residents who request help need to be considered.,C,"Emergency procedures become usable when they reflect the support categories residents may need during evacuation or sheltering.",foundational,Managing the Physical Environment
RCFE-CETP-007,RCFE-CETP-007_Q008,A shelter drill shows that the printed emergency contact list cannot be located. What should the administrator do?,multichoice,Assume someone will remember the numbers during a real event.,Remove contact-list review from the drill checklist.,Wait until an emergency occurs to test the communication process.,"Document the gap, restore access under policy, tell staff where the current list is kept, and verify follow-up.",D,"Communication tools must be accessible during disruption, and drill findings should lead to correction and verification.",scenario,Managing the Physical Environment
RCFE-CETP-007,RCFE-CETP-007_Q009,In a fictional heat event the activity room becomes unusually warm during an HVAC problem. Which priority response best reflects this course?,multichoice,"Move affected residents as needed, monitor for resident-specific concerns, escalate the facilities issue, and document actions.",Keep the activity in place until the scheduled maintenance visit.,Ask residents to decide whether the room is comfortable enough.,Post a note that the room is warm but take no other action.,A,"Environmental conditions can affect residents differently, so administrator response should combine immediate control, monitoring, escalation, and documentation.",scenario,Managing the Physical Environment
RCFE-CETP-007,RCFE-CETP-007_Q010,How should an administrator use an after-action report from a drill?,multichoice,File it without review once attendance is listed.,"Identify what worked, what failed, who owns each correction, and when closure will be verified.",Rewrite the findings so no problems appear.,Use it only to prove that the calendar requirement was met.,B,"After-action review should convert drill evidence into specific improvements that can be assigned, communicated, and closed.",application,Managing the Physical Environment
RCFE-CETP-007,RCFE-CETP-007_Q011,Which learner submission would violate the privacy expectations for this course?,multichoice,A fictional hallway safety note using sample facts from the prompt.,A general statement that role assignments should be clear.,"An assignment naming a real resident, real facility, and real incident date.",A response explaining how to document a mock drill.,C,"The course requires fictional examples only; real resident, facility, staff, and incident identifiers must not be entered into Moodle activities.",foundational,Managing the Physical Environment
RCFE-CETP-007,RCFE-CETP-007_Q012,Why must certificate release remain blocked while this course is still pending approval metadata?,multichoice,Because learners should never receive feedback on quizzes.,Because environmental topics cannot be assessed in Moodle.,Because H5P activities are optional in every RCFE course.,"Because duration, participation, assessment, evaluation, and approval metadata gates must be satisfied before certificate release.",D,"Completion evidence and approval metadata are both required controls; a quiz pass alone is not enough for certificate release.",application,Managing the Physical Environment
RCFE-CETP-007,RCFE-CETP-007_Q013,"In a fictional lunch-period scenario, supply boxes are left in the corridor residents use to reach the dining room. What is the best administrator action?",multichoice,"Restore clear access, direct proper storage, document the condition and correction, and communicate delivery-placement expectations.",Wait until lunch ends because the boxes are temporary.,Ask residents to use a longer route without documenting the concern.,Treat it only as a staff preference issue.,A,"Corridor obstruction affects routine movement and emergency readiness, so the response should correct access and prevent recurrence.",scenario,Managing the Physical Environment
RCFE-CETP-007,RCFE-CETP-007_Q014,During a drill review a staff member suggests repeating the drill without documenting the communication problems. What response best protects accountability?,multichoice,Agree because clean records are easier to review.,"Keep the original drill record, document the problems, assign corrections, and verify the next check.",Delete the drill evidence and record only the repeat drill.,Let each department decide whether the issue matters.,B,"Preserving findings supports documentation integrity and allows the facility to show improvement rather than hide gaps.",scenario,Managing the Physical Environment
RCFE-CETP-007,RCFE-CETP-007_Q015,A fictional resident reports that water in a common bathroom feels much hotter than usual. What administrator response is most appropriate?,multichoice,Assume the resident is mistaken unless another person complains.,Close the concern because water temperature is only a maintenance topic.,"Limit exposure as needed, notify the responsible maintenance or supervisory pathway, document the report, and verify follow-up.",Ask learners to provide exact technical repair instructions.,C,"Water-temperature concerns can create resident safety risk and require control, escalation through the proper pathway, and documented follow-up.",scenario,Managing the Physical Environment
RCFE-CETP-007,RCFE-CETP-007_Q016,A severe weather drill shows no one is assigned to check exterior doors before sheltering. Which response best applies administrator judgment?,multichoice,Ignore the gap if the interior shelter area was reached.,Assign the role informally with no record.,Stop conducting severe weather drills.,"Clarify the role and backup, update the drill instructions, communicate the change, and verify it during follow-up.",D,"Emergency roles need clear ownership and backup coverage so staff do not rely on guesswork during disruption.",scenario,Managing the Physical Environment
RCFE-CETP-007,RCFE-CETP-007_Q017,Which Moodle evidence best supports completion of the Hour 1 H5P environmental scenario?,multichoice,"Attempt timestamp, selected branch, completion status, score if enabled, and remediation text when required.",Only the learner's verbal statement that the activity was done.,Only a printed sign-in sheet unrelated to the H5P attempt.,No record because practice scenarios are never tracked.,A,"Scenario completion should produce Moodle evidence that shows engagement, outcome, and any required remediation.",foundational,Managing the Physical Environment
RCFE-CETP-007,RCFE-CETP-007_Q018,"At shift change, an environmental correction is started but not complete. What should the administrator ensure?",multichoice,The unfinished item is removed from the log.,"The interim control, remaining risk, responsible person, and next follow-up are documented for continuity.",The next shift receives only a verbal hint.,The issue waits for the next annual review.,B,"Open environmental items need continuity documentation so correction and resident-safety controls are not lost between shifts.",scenario,Managing the Physical Environment
RCFE-CETP-007,RCFE-CETP-007_Q019,How should staff communication about revised emergency role assignments be framed?,multichoice,As a rumor until the next emergency tests it.,As optional information for staff who are interested.,"As a clear update naming the role, backup, effective date, where the procedure is found, and how completion will be checked.",As a private note kept only by the administrator.,C,"Role changes must be communicated in a way staff can act on and the administrator can verify.",application,Managing the Physical Environment
RCFE-CETP-007,RCFE-CETP-007_Q020,What makes an environmental safety checklist most useful for administrator oversight?,multichoice,It uses broad statements such as keep everything safe.,It avoids assigning responsibility so no one is blamed.,It is completed only when an inspection is announced.,"It names the area, item to check, frequency, responsible role, escalation path, and closure evidence.",D,"A checklist supports oversight when it turns general safety expectations into repeatable actions with responsibility and evidence.",application,Managing the Physical Environment
