module_id,question_name,question_text,question_type,answer_a,answer_b,answer_c,answer_d,correct_answer,rationale,difficulty,topic_area
M07,M07_Q01_RN_ROLE_UR,"Which statement best describes the RN case manager's role in utilization review?",multiple_choice,"Provide current clinical facts, skilled need indicators, patient risks, and follow-up needs for review","Decide whether the payer must cover the service","Change diagnoses so services are more likely to be authorized","Avoid patient-care details because utilization review is only administrative",A,"The RN case manager supports utilization review by communicating accurate clinical facts and patient-care context while the payer retains authority for coverage decisions.",foundational,utilization review concepts
M07,M07_Q02_PAYER_INFO_REQUEST,"A payer asks for additional information before reviewing continued skilled nursing visits. Which response is most appropriate?",multiple_choice,"Tell the patient the visits will be covered once the payer sees the request","Submit current wound status, skilled interventions, functional limits, caregiver barriers, and follow-up request through the approved process","Send only the diagnosis name and ask for all future visits to be approved","Wait until the review period closes before documenting the request",B,"A complete information response links the requested service to current assessment findings, skilled interventions, barriers, and next steps without promising approval.",applied,medical necessity communication
M07,M07_Q03_PAYER_SAFE_WORDING,"Which phrase is the most payer-safe?",multiple_choice,"The payer has to approve this because the patient needs it","This denial is wrong and will be reversed","RN submitted current clinical summary for payer review; coverage decision remains pending","Patient was promised that insurance will pay for continued visits",C,"The correct wording documents the action taken and pending status while avoiding guarantees, blame, or conclusions outside the RN role.",foundational,payer-safe wording
M07,M07_Q04_PRIOR_AUTH_BOUNDARY,"During prior authorization support, which task should be escalated rather than handled independently by the RN case manager?",multiple_choice,"Summarizing current nursing assessment findings","Documenting when clinical information was submitted","Explaining to the patient that payer review is pending","Creating provider rationale for an order that is not documented",D,"Provider rationale and order clarification belong with the provider or designated clinical authority; the RN should coordinate the request instead of inventing justification.",applied,prior authorization support
M07,M07_Q05_AUTHORIZATION_DELAY_SAFETY,"A continued-visit authorization is delayed for a patient with an active wound and limited caregiver availability. What should the RN case manager prioritize?",multiple_choice,"Document patient-care risk, follow the approved review process, and escalate if delay threatens safe continuity","Tell the family the payer will be responsible for any bad outcome","Stop documenting until the authorization decision is final","Promise the patient that the agency will provide all visits regardless of payer decision",A,"Authorization delays require a safety-focused documentation trail and timely escalation when patient risk may increase, while avoiding threats or coverage promises.",scenario,authorization delay
M07,M07_Q06_DENIAL_COMMUNICATION,"A payer denies continued visits because the record does not clearly show ongoing skilled need. Which RN action is safest?",multiple_choice,"Rewrite prior documentation so the skilled need sounds stronger","Document the denial reason if available, notify appropriate roles, identify patient risks, and coordinate appeal-support facts within policy","Tell the patient that all denials are administrative errors","Ignore the denial because appeal work is never related to patient care",B,"The safest response preserves record integrity, documents the stated reason, communicates patient-care risk, and routes appeal support through the correct process.",scenario,denials and appeals
M07,M07_Q07_PATIENT_COVERAGE_QUESTION,"A patient asks whether the requested service will definitely be covered. Which response best fits M07 guidance?",multiple_choice,"Yes, because the RN believes the service is needed","No, because payer decisions cannot be discussed with patients","Coverage decisions are made by the payer; I will submit allowed clinical information and document follow-up","The provider can guarantee coverage if the RN sends enough notes",C,"The RN can explain the process and continue advocacy, but should not guarantee payer decisions or shut down appropriate patient education.",scenario,patient communication
M07,M07_Q08_MISSING_DIAGNOSIS_DETAIL,"A payer requests diagnosis clarification not found in the nursing record. What should the RN case manager do?",multiple_choice,"Guess the most likely diagnosis based on symptoms","Send a broad statement that all services are medically necessary","Tell the patient to call the payer and resolve it alone","Coordinate provider clarification through the approved process and document the request",D,"When diagnosis or order clarification is missing, the RN coordinates with the provider or proper role and documents the follow-up rather than speculating.",scenario,provider coordination
M07,M07_Q09_RISKY_PHRASE_REWRITE,"Which rewrite best improves the risky phrase, The payer must approve more visits?",multiple_choice,"Current wound findings, teaching response, mobility limits, and caregiver availability were submitted for payer review of continued skilled nursing visits","The payer is expected to approve because the patient has a diagnosis","Approval should be automatic because the family is worried","The RN guaranteed continued services after speaking with the patient",A,"The rewrite uses documented clinical facts and a neutral review request instead of a demand or promise of authorization.",application,payer-safe wording drill
M07,M07_Q10_DOCUMENTATION_TRAIL,"Which documentation element is most important after a payer contact?",multiple_choice,"The RN's personal opinion about whether the payer is cooperative","Reason for contact, information sent, recipient or channel, date/time, pending decision, and next follow-up","Only the patient's diagnosis because the rest can be remembered later","A statement that the outcome is certain if the chart is complete",B,"A payer contact note should allow another reviewer to reconstruct the request, what was shared, where it went, what is pending, and what follow-up is due.",application,documentation of payer contacts
M07,M07_Q11_APPEAL_SUPPORT_SCOPE,"Which appeal-support activity is within RN case-management scope when allowed by policy?",multiple_choice,"Writing a legal argument for the patient","Changing the provider order to match payer criteria","Contributing current assessment findings, patient response, skilled care history, and risk information","Promising the denial will be overturned if the RN participates",C,"The RN may provide clinical facts and coordination history for appeal support, but should not provide legal claims, alter orders, or promise appeal outcomes.",applied,appeals communication
M07,M07_Q12_ESCALATION_TRIGGER,"Which situation most clearly requires escalation beyond routine RN payer communication?",multiple_choice,"The payer portal confirms receipt of a routine update","The patient asks what date the request was submitted","The RN documents that review remains pending","The payer request appears inconsistent with permitted disclosure or agency policy",D,"Unusual disclosure or policy concerns should be escalated to supervisor or compliance channels because they may involve privacy, contractual, or regulatory risk.",application,escalation
M07,M07_Q13_PATIENT_ADVOCACY,"Which action best demonstrates patient advocacy during a utilization review delay?",multiple_choice,"Explain the pending process, provide safety instructions, notify the provider if risk increases, and track follow-up","Tell the patient that advocacy means promising approval","Avoid discussing symptoms until the payer decides","Document only the payer phone number and no patient-care risk",A,"Advocacy remains active through clear education, safety follow-up, provider notification when needed, and tracking unresolved barriers without guaranteeing coverage.",scenario,patient advocacy
M07,M07_Q14_COMPLETION_CERTIFICATE_GATE,"What must remain true about certificate release for this Draft / Pending BRN CEP Approval course content?",multiple_choice,"The M07 quiz pass alone releases a certificate","Certificate release is blocked until provider approval metadata and required completion evidence gates are satisfied","A certificate can be released when the learner views all pages","The module may advertise approval after the assignment is graded",B,"Passing one module quiz is not enough; certificate release requires provider approval metadata and full completion evidence according to the course gate rules.",foundational,completion and certificate guardrails
M07,M07_Q15_CLINICAL_FACTS_VS_PROMISES,"Which statement best separates clinical facts from promises?",multiple_choice,"The payer will approve because the wound still looks bad","The patient will be unsafe unless every requested visit is covered","RN observed drainage, documented teaching needs, submitted allowed clinical facts, and noted payer decision pending","The family wants services, so payment is guaranteed",C,"This statement identifies observed facts, nursing action, submitted information, and pending status without predicting authorization, payment, or outcome.",application,clinical facts vs promises
